"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "pip requirements", "HTML", "Python", "Database", "comment", "blank", "total"
"f:\Aero\AEROPS\Frontend\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"f:\Aero\AEROPS\Frontend\src\pages\PilotDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 12, 230
"f:\Aero\AEROPS\Frontend\src\pages\PilotInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 9, 84
"f:\Aero\AEROPS\Frontend\src\pages\PinEntry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 12, 116
"f:\Aero\AEROPS\Frontend\src\pages\Simulation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 631, 0, 0, 0, 0, 0, 0, 0, 72, 703
"f:\Aero\AEROPS\Frontend\src\pages\Training.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 27, 246
"f:\Aero\AEROPS\Frontend\src\test\example.test.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"f:\Aero\AEROPS\Frontend\src\test\setup.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"f:\Aero\AEROPS\Frontend\src\types\reactjs-human-body.d.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"f:\Aero\AEROPS\Frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\Aero\AEROPS\Frontend\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"f:\Aero\AEROPS\Frontend\tsconfig.app.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"f:\Aero\AEROPS\Frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 24
"f:\Aero\AEROPS\Frontend\tsconfig.node.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"f:\Aero\AEROPS\Frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 2, 29
"f:\Aero\AEROPS\Frontend\vitest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"f:\Aero\AEROPS\sim_logic\App.css", "PostCSS", 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 439
